Id,Survived,Name,Age,Sex,Ticket,Fare
1,False,"Braund, Mr. Owen Harris",22.0,male,A/5 21171,7.25
2,True,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,female,PC 17599,71.2833
3,True,"Heikkinen, Miss. Laina",26.0,female,STON/O2. 3101282,7.925
4,True,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,female,113803,53.1
5,False,"Allen, Mr. William Henry",35.0,male,373450,8.05
6,False,"Moran, Mr. James",N/A,male,330877,8.4583
7,False,"McCarthy, Mr. Timothy J",54.0,male,17463,51.8625
8,False,"Palsson, Master. Gosta Leonard",2.0,male,349909,21.075
9,True,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,female,347742,11.1333
10,True,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,female,237736,30.0708
11,True,"Sandstrom, Miss. Marguerite Rut",4.0,female,PP 9549,16.7
12,True,"Bonnell, Miss. Elizabeth",58.0,female,113783,26.55
13,False,"Saundercock, Mr. William Henry",20.0,male,A/5. 2151,8.05
14,False,"Andersson, Mr. Anders Johan",39.0,male,347082,31.275
15,False,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,female,350406,7.8542
16,True,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,female,248706,16.0
17,False,"Rice, Master. Eugene",2.0,male,382652,29.125
18,True,"Williams, Mr. Charles Eugene",N/A,male,244373,13.0
19,False,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,female,345763,18.0
20,True,"Masselmani, Mrs. Fatima",N/A,female,2649,7.225
21,False,"Fynney, Mr. Joseph J",35.0,male,239865,26.0
22,True,"Beesley, Mr. Lawrence",34.0,male,248698,13.0
23,True,"McGowan, Miss. Anna ""Annie""",15.0,female,330923,8.0292
24,True,"Sloper, Mr. William Thompson",28.0,male,113788,35.5
25,False,"Palsson, Miss. Torborg Danira",8.0,female,349909,21.075
26,True,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,female,347077,31.3875
27,False,"Emir, Mr. Farred Chehab",N/A,male,2631,7.225
28,False,"Fortune, Mr. Charles Alexander",19.0,male,19950,263.0
29,True,"O'Dwyer, Miss. Ellen ""Nellie""",N/A,female,330959,7.8792
30,False,"Todoroff, Mr. Lalio",N/A,male,349216,7.8958
31,False,"Uruchurtu, Don. Manuel E",40.0,male,PC 17601,27.7208
32,True,"Spencer, Mrs. William Augustus (Marie Eugenie)",N/A,female,PC 17569,146.5208
33,True,"Glynn, Miss. Mary Agatha",N/A,female,335677,7.75
34,False,"Wheadon, Mr. Edward H",66.0,male,C.A. 24579,10.5
35,False,"Meyer, Mr. Edgar Joseph",28.0,male,PC 17604,82.1708
36,False,"Holverson, Mr. Alexander Oskar",42.0,male,113789,52.0
37,True,"Mamee, Mr. Hanna",N/A,male,2677,7.2292
38,False,"Cann, Mr. Ernest Charles",21.0,male,A./5. 2152,8.05
39,False,"Vander Planke, Miss. Augusta Maria",18.0,female,345764,18.0
40,True,"Nicola-Yarred, Miss. Jamila",14.0,female,2651,11.2417
41,False,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,female,7546,9.475
42,False,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,female,11668,21.0
43,False,"Kraeff, Mr. Theodor",N/A,male,349253,7.8958
44,True,"Laroche, Miss. Simonne Marie Anne Andree",3.0,female,SC/Paris 2123,41.5792
45,True,"Devaney, Miss. Margaret Delia",19.0,female,330958,7.8792
46,False,"Rogers, Mr. William John",N/A,male,S.C./A.4. 23567,8.05
47,False,"Lennon, Mr. Denis",N/A,male,370371,15.5
48,True,"O'Driscoll, Miss. Bridget",N/A,female,14311,7.75
49,False,"Samaan, Mr. Youssef",N/A,male,2662,21.6792
50,False,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,female,349237,17.8
51,False,"Panula, Master. Juha Niilo",7.0,male,3101295,39.6875
52,False,"Nosworthy, Mr. Richard Cater",21.0,male,A/4. 39886,7.8
53,True,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,female,PC 17572,76.7292
54,True,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,female,2926,26.0
55,False,"Ostby, Mr. Engelhart Cornelius",65.0,male,113509,61.9792
56,True,"Woolner, Mr. Hugh",N/A,male,19947,35.5
57,True,"Rugg, Miss. Emily",21.0,female,C.A. 31026,10.5
58,False,"Novel, Mr. Mansouer",28.5,male,2697,7.2292
59,True,"West, Miss. Constance Mirium",5.0,female,C.A. 34651,27.75
60,False,"Goodwin, Master. William Frederick",11.0,male,CA 2144,46.9
61,False,"Sirayanian, Mr. Orsen",22.0,male,2669,7.2292
62,True,"Icard, Miss. Amelie",38.0,female,113572,80.0
63,False,"Harris, Mr. Henry Birkhardt",45.0,male,36973,83.475
64,False,"Skoog, Master. Harald",4.0,male,347088,27.9
65,False,"Stewart, Mr. Albert A",N/A,male,PC 17605,27.7208
66,True,"Moubarek, Master. Gerios",N/A,male,2661,15.2458
67,True,"Nye, Mrs. (Elizabeth Ramell)",29.0,female,C.A. 29395,10.5
68,False,"Crease, Mr. Ernest James",19.0,male,S.P. 3464,8.1583
69,True,"Andersson, Miss. Erna Alexandra",17.0,female,3101281,7.925
70,False,"Kink, Mr. Vincenz",26.0,male,315151,8.6625
71,False,"Jenkin, Mr. Stephen Curnow",32.0,male,C.A. 33111,10.5
72,False,"Goodwin, Miss. Lillian Amy",16.0,female,CA 2144,46.9
73,False,"Hood, Mr. Ambrose Jr",21.0,male,S.O.C. 14879,73.5
